ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:339(get_provider)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\posixpath.py:41(_get_sep)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\posixpath.py:60(isabs)
23,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\shutil.py:1331(get_terminal_size)
1,0.000,0.000,0.001,0.001,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1118(resource_exists)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1134(resource_stream)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1377(__init__)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1390(has_resource)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1472(_fn)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1478(_validate_resource_path)
18,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1564(_parents)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1578(__init__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1582(_setup_prefix)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1598(_has)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:1607(get_resource_stream)
16,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:2352(_is_egg_path)
16,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:2359(_is_zip_egg)
16,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:2367(_is_unpacked_egg)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:3143(_always_object)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\site-packages\pkg_resources\__init__.py:3153(_find_adapter)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\tempfile.py:134(rng)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\tempfile.py:148(<listcomp>)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\tempfile.py:145(__next__)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\ctypes\__init__.py:48(create_string_buffer)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\ctypes\__init__.py:392(__getattr__)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\ctypes\__init__.py:399(__getitem__)
1,0.000,0.000,0.000,0.000,c:\Users\bjoer\.vscode-insiders\extensions\ms-python.python-2021.12.1559732655\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1020(__init__)
1,0.000,0.000,0.000,0.000,c:\Users\bjoer\.vscode-insiders\extensions\ms-python.python-2021.12.1559732655\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1110(pydev_start_new_thread)
14,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:64(parse_parts)
13,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:102(join_parsed_parts)
14,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:155(splitroot)
14,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:682(_parse_args)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:702(_from_parts)
14,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:715(_from_parsed_parts)
12,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:725(_format_parsed_parts)
13,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:736(_make_child)
15,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:742(__str__)
15,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:752(__fspath__)
13,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:974(__truediv__)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:986(parent)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:1079(__new__)
15,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\pathlib.py:1089(_init)
1,0.000,0.000,0.000,0.000,E:\Repositories\bomberman_rl\main.py:16(__init__)
476,0.001,0.000,0.002,0.000,E:\Repositories\bomberman_rl\main.py:20(is_due)
238,0.001,0.000,0.001,0.000,E:\Repositories\bomberman_rl\main.py:23(note)
238,0.002,0.000,18.320,0.077,E:\Repositories\bomberman_rl\main.py:26(wait)
238,0.010,0.000,20.044,0.084,E:\Repositories\bomberman_rl\main.py:40(render)
1,0.005,0.005,29.477,29.477,E:\Repositories\bomberman_rl\main.py:32(world_controller)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1290(__init__)
11,0.000,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1305(__init__)
135,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1358(register)
70,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1362(_registry_get)
26,0.001,0.000,0.005,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1387(add_argument)
6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1438(add_argument_group)
2,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1443(add_mutually_exclusive_group)
27,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1448(_add_action)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\argparse.py:1512(_get_positional_kwargs)
